input,output
4. What would improve Module 5?,4. What would improve Module 5?
"More short videos like role play, please!","More short videos like role play, please!"
5. Please share any additional comments on Module 5,5. Please share any additional comments on Module 5
That’s a great module too to take which method is effective for a communication in workplace.,That’s a great module too to take which method is effective for a communication in workplace.
3. What was your favourite part of Module 5?,3. What was your favourite part of Module 5?
Additional resources,Additional resources
"2. If 1 star = 1 hour, how many hours did it take you to complete Module 5?","2. If 1 star = 1 hour, how many hours did it take you to complete Module 5?"
Module 6: Onboarding and organizational culture (Online v.5),Module 6: Onboarding and organizational culture (Online v.5)
5. Please share any additional comments on Module 6,5. Please share any additional comments on Module 6
4. What would improve Module 6?,4. What would improve Module 6?
"2. If 1 star = 1 hour, how many hours did it take you to complete Module 6?","2. If 1 star = 1 hour, how many hours did it take you to complete Module 6?"
3. What was your favourite part of Module 6?,3. What was your favourite part of Module 6?
Short video interview,Short video interview
1. What is your overall rating for Module 6?,1. What is your overall rating for Module 6?
Module 6: Onboarding and organizational culture (Blended v.4),Module 6: Onboarding and organizational culture (Blended v.4)
lesson about managing time,lesson about managing time
,
Transferrable skills,Transferable skills
Module gave more confidence in my abilities,Module gave more confidence in my abilities
More games instead of quizzes,More games instead of quizzes
Organizational culture,Organizational culture
It's most valuable part for improving my skills.,It's most valuable part for improving my skills.
“Transferable Skills”,“Transferable Skills”
"Interactive Activities: Incorporate various interactive activities such as quizzes, case studies, group discussions, or simulations to reinforce learning and encourage active participation.","Interactive Activities: Incorporate various interactive activities such as quizzes, case studies, group discussions, or simulations to reinforce learning and encourage active participation."
"Offer practical tools, templates, or resources that participants can use to develop and enhance their personal brand. This empowers them to apply what they've learned to their own professional endeavors.","Offer practical tools, templates, or resources that participants can use to develop and enhance their personal brand. This empowers them to apply what they've learned to their own professional endeavors."
Digital Portfolio,Digital Portfolio
All resources are useful.,All resources are useful.
How your community can support you,How your community can support you
"By addressing these additional considerations, Module 3 can provide participants with a more comprehensive understanding of networking and empower them to develop meaningful and sustainable professional communities of support.","By addressing these additional considerations, Module 3 can provide participants with a more comprehensive understanding of networking and empower them to develop meaningful and sustainable professional communities of support."
"By implementing these enhancements, Module 3 can provide participants with a comprehensive and engaging learning experience focused on developing their professional community of support.","By implementing these enhancements, Module 3 can provide participants with a comprehensive and engaging learning experience focused on developing their professional community of support."
It's very helpful for job search and interview soft skills,It's very helpful for job search and interview soft skills
Online job boards,Online job boards
How to navigate online job boards,How to navigate online job boards
Communication Styles,Communication Styles
All information helpful for my professional life.,All information helpful for my professional life.
All are ok,All are ok
All are good,All are good
Managing time and expectations,Managing time and expectations
It's helpful for my organizational culture and activity,It's helpful for my organizational culture and activity
Module 1: The value of your existing skills and experience (Blended v. 1),Module 1: The value of your existing skills and experience (Blended v. 1)
transferrable skills,transferable skills
soft skills,soft skills
enlightening,enlightening
Module 2: Personal branding (Blended v.3),Module 2: Personal branding (Blended v.3)
LinkedIn,LinkedIn
Module 3: Developing your professional community of support (Blended v.3),Module 3: Developing your professional community of support (Blended v.3)
MENTORING,MENTORING
"A community of support is a network of individuals who will vouch for you, open doors for you and give you sound advice. They’ll endorse your abilities and will listen to you on the hard days.","A community of support is a network of individuals who will vouch for you, open doors for you and give you sound advice. They’ll endorse your abilities and will listen to you on the hard days."
NIL,NIL
Module 4: Building your job search and interview soft skills (Blended v.6),Module 4: Building your job search and interview soft skills (Blended v.6)
VOLUNTEER,VOLUNTEER
Module 5: Professional communication (Blended v.4),Module 5: Professional communication (Blended v.4)
conference calols,conference calols
meetings,meetings
"According to Robert E. Quinn and Kim S. Cameron at the University of Michigan at Ann Arbor, there are four types of organizational culture: 
Clan-family like with a focus on mentoring, nurturing and doing things together
Adhocracy-focuses on risk taking,innovation and doing things first
Market-results driven with a focus on competition, achievement and getting the job done
Hierarchy-structured and controlled with a focus on efficiency,stability and doing things right","According to Robert E. Quinn and Kim S. Cameron at the University of Michigan at Ann Arbor, there are four types of organizational culture: 
Clan-family like with a focus on mentoring, nurturing and doing things together
Adhocracy-focuses on risk taking,innovation and doing things first
Market-results driven with a focus on competition, achievement and getting the job done
Hierarchy-structured and controlled with a focus on efficiency,stability and doing things right"
understanding of  organizational structure,understanding of  organizational structure
leadership accountabilities,leadership accountabilities
REALLY ENJOY WHILE STUDY AND HELPFULL TO UNDERSTAND EASILY.,REALLY ENJOY WHILE STUDY AND HELPFULL TO UNDERSTAND EASILY.
SELF STRENGTH AND MEDITATION,SELF STRENGTH AND MEDITATION
IT'S GOOD NO NEED TO IMPROVE.AS FOR NEWCOMERS PERFECT SIMPLE AND SWEET.,IT'S GOOD NO NEED TO IMPROVE.AS FOR NEWCOMERS PERFECT SIMPLE AND SWEET.
linkedin and  motivational videos,linkedin and  motivational videos
as a newcomer its better to understand no need to improve or alse depends on the understanding.,as a newcomer its better to understand no need to improve or alse depends on the understanding.
very motivational,very motivational
thanks for informational module,thanks for informational module
no need to improve it's easy to understand.,no need to improve it's easy to understand.
mentorship and community development,mentorship and community development
STAR method,STAR method
it was no need to be improve more easy to understand. thank you,it was no need to be improve more easy to understand. thank you
no,no
communication style on workplace,communication style on workplace
thank you for a wonderful module,thank you for a wonderful module
KFC,KFC
easy to understand,easy to understand
thanks for this wonder module,thanks for this wonder module
salary negotiable,salary negotiable
Module 1: The value of your existing skills and experience (Individual v.1),Module 1: The value of your existing skills and experience (Individual v.1)
1. What is your overall rating for Module 1?,1. What is your overall rating for Module 1?
all part was okay,all part was okay
Module 2: Personal branding (Individual v.3),Module 2: Personal branding (Individual v.3)
Module 3: Developing your professional community of support (Individual v.3),Module 3: Developing your professional community of support (Individual v.3)
Module 4: Building your job search and interview soft skills (Individual v.5),Module 4: Building your job search and interview soft skills (Individual v.5)
1. What is your overall rating for this online module?,1. What is your overall rating for this online module?
Module 5: Professional communication (Individual v.4),Module 5: Professional communication (Individual v.4)
5. Please share any additional comments on this online module,5. Please share any additional comments on this online module
all points was great and it helped me to understand about the new skills so beside that i improved my skills.,all points was great and it helped me to understand about the new skills so beside that i improved my skills.
Module 6: Onboarding and organizational culture (Individual v.4),Module 6: Onboarding and organizational culture (Individual v.4)
